resource,type,layer,sublayer,model,table_schema,table_name,table_type,vocabularies
MapOverlay,infrastructure,8. Extension,8e. Occurrence,\App\Models\Mapper\MapOverlay,mapper,map_overlays,table,
TaxonConcept_MapOverlay_MAP,map,8. Extension,8e. Occurrence,\App\Models\Mapper\TaxonConceptMapOverlayMap,mapper,taxon_concept_map_overlay_map,materialized view,
TaxonConcept_Phenology_MAP,map,8. Extension,8e. Occurrence,\App\Models\Mapper\TaxonConceptPhenologyMap,mapper,taxon_concept_phenology_map,materialized view,
Glossary,domain entity,8. Extension,8h. Glossary,\App\Models\Glossary\Glossary,glossary,glossaries,table,
GlossaryTerm,domain entity,8. Extension,8h. Glossary,\App\Models\Glossary\Term,glossary,terms,table,
GlossaryCategory,domain entity,8. Extension,8h. Glossary,\App\Models\Glossary\Category,glossary,categories,table,
GlossaryTermRelationship_MAP,map,8. Extension,8h. Glossary,\App\Models\Glossary\TermRelationship,glossary,term_relationships,table,"{""relationship_type_id"": ""GLOSSARY_TERM_RELATIONSHIP_TYPE""}"
Limitation,domain entity,8. Extension,8h. Glossary,\App\Models\Glossary\Limitation,glossary,limitations,table,
Glossary_Limitation_MAP,map,8. Extension,8h. Glossary,\App\Models\GlossaryLimitationMap,glossary,glossary_limitation_map,table,
Search,map,7. Infrastructure,7e. Search,\App\Models\Search\Search,public,search_mv,materialized_view,
